name,id,name type,recclass,mass (g),fall,year,reclat,reclong
Mbosi,15456,Valid,"Iron, ungrouped",16000000,Found,1/1/30 0:00,-9.11667,33.06667
Paragould,18101,Valid,LL5,408000,Fell,1/1/30 0:00,36.06667,-90.5
Bencubbin,5014,Valid,CBa,118000,Found,1/1/30 0:00,-30.75,117.78333
Uwharrie,24139,Valid,"Iron, IIIAB",72700,Found,1/1/30 0:00,35.51667,-79.96667
Landes,12457,Valid,"Iron, IAB-MG",69800,Found,1/1/30 0:00,38.9,-79.18333
Miami,16630,Valid,H5,57700,Found,1/1/30 0:00,35.66667,-100.6
Karoonda,12264,Valid,CK4,41730,Fell,1/1/30 0:00,-35.08333,139.91667
Miller (Arkansas),16645,Valid,H5,16700,Fell,1/1/30 0:00,35.4,-92.05
Tell,23893,Valid,H6,16600,Found,1/1/30 0:00,34.38333,-100.4
Oldenburg (1930),18009,Valid,L6,16570,Fell,1/1/30 0:00,52.95,8.16667
Moorleah,16738,Valid,L6,8887.5,Fell,1/1/30 0:00,-40.975,145.6
Lillaverke,14650,Valid,H5,6862,Fell,1/1/30 0:00,56.65,15.86667
Borrego,5115,Valid,L6,2126,Found,1/1/30 0:00,33.26667,-116.38333
Plantersville,18846,Valid,H6,2085,Fell,1/1/30 0:00,30.7,-96.11667
Aguada,398,Valid,L6,1620,Fell,1/1/30 0:00,-31.6,-65.23333
Boriskino,5112,Valid,CM2,1342,Fell,1/1/30 0:00,54.23333,52.48333
Gyokukei,11467,Valid,OC,1320,Fell,1/1/30 0:00,35,127.5
Henbury,11872,Valid,"Iron, IIIAB",2000000,Found,1/1/31 0:00,-24.56667,133.16667
Springwater,23692,Valid,"Pallasite, PMG-an",67600,Found,1/1/31 0:00,52,-108.3
Bear Lodge,4983,Valid,"Iron, IIIAB",48500,Found,1/1/31 0:00,44.5,-104.2
Osseo,18037,Valid,"Iron, IAB complex",46300,Found,1/1/31 0:00,47.63333,-80.08333
Ioka,12040,Valid,L3.5,31500,Found,1/1/31 0:00,40.25,-110.08333
Alikatnima,471,Valid,"Iron, ungrouped",20000,Found,1/1/31 0:00,-23.33333,134.11667
Bruno,5158,Valid,"Iron, IIAB",13000,Found,1/1/31 0:00,52.26667,-105.35
Tatahouine,23884,Valid,Diogenite,12000,Fell,1/1/31 0:00,32.95,10.41667
Landor,12458,Valid,Iron,9000,Found,1/1/31 0:00,-25.66667,117
Yukan,30377,Valid,LL6,4800,Fell,1/1/31 0:00,28.71667,116.61667
Pine River,18826,Valid,"Iron, IAB-sLL",3600,Found,1/1/31 0:00,44.21667,-89.1
Clareton,5371,Valid,L6,1050,Found,1/1/31 0:00,43.7,-104.7
Lafayette (stone),12412,Valid,Martian (nakhlite),800,Found,1/1/31 0:00,40.41667,-86.88333
Guanghua,11434,Valid,"Iron, IVA",190000,Found,1/1/32 0:00,32.4,111.7
Wagon Mound,24196,Valid,L6,87500,Found,1/1/32 0:00,35.84083,-104.58583
Kyancutta,12386,Valid,"Iron, IIIAB",32700,Found,1/1/32 0:00,-33.28333,136
Deelfontein,6636,Valid,"Iron, IAB-MG",28000,Found,1/1/32 0:00,-30.18333,23.26667
Gualeguaych’_,11432,Valid,H6,22000,Fell,1/1/32 0:00,-33,-58.61667
Baquedano,4939,Valid,"Iron, IIIAB",22000,Found,1/1/32 0:00,-23.3,-69.88333
Altonah,2286,Valid,"Iron, IVA",21500,Found,1/1/32 0:00,40.56667,-110.48333
Nordheim,16992,Valid,"Iron, ungrouped",15150,Found,1/1/32 0:00,28.86667,-97.61667
Lanton,12463,Valid,"Iron, IIIAB",13780,Found,1/1/32 0:00,36.53333,-91.8
Cowell,5457,Valid,"Iron, IIIAB",5717,Found,1/1/32 0:00,-33.3,136.01667
Archie,2329,Valid,H6,5070,Fell,1/1/32 0:00,38.5,-94.3
Kuznetzovo,12385,Valid,L6,4047,Fell,1/1/32 0:00,55.2,75.33333
Khanpur,12289,Valid,LL5,3698,Fell,1/1/32 0:00,25.55,83.11667
Khor Temiki,12299,Valid,Aubrite,3200,Fell,1/1/32 0:00,16,36
Prambachkirchen,18883,Valid,L6,2125,Fell,1/1/32 0:00,48.3025,13.94083
Douar Mghila,7723,Valid,LL6,1161,Fell,1/1/32 0:00,32.33333,-6.3
Boerne,5095,Valid,H6,1100,Found,1/1/32 0:00,29.8,-98.8
Cushing,5499,Valid,H4,567,Found,1/1/32 0:00,35.96667,-96.76667
Lake Murray,12446,Valid,"Iron, IIAB",270000,Found,1/1/33 0:00,34.1,-97
Pervomaisky,18798,Valid,L6,66000,Fell,1/1/33 0:00,56.63333,39.43333
Roy (1933),22774,Valid,L5,47200,Found,1/1/33 0:00,35.95,-104.2
Harrisonville,11844,Valid,L6,46500,Found,1/1/33 0:00,38.65,-94.33333
Zemaitkiemis,30399,Valid,L6,44100,Fell,1/1/33 0:00,55.3,25
Melrose (a),15475,Valid,L5,36400,Found,1/1/33 0:00,34.38333,-103.61667
La Lande,12400,Valid,L5,30000,Found,1/1/33 0:00,34.45,-104.13333
Chajari,5316,Valid,L5,18300,Fell,1/1/33 0:00,-30.78333,-58.05
Holyoke,11900,Valid,H4,11200,Found,1/1/33 0:00,40.56667,-102.3
Cherokee Springs,5340,Valid,LL6,8400,Fell,1/1/33 0:00,35.03333,-81.88333
Phum Sambo,18811,Valid,H4,7800,Fell,1/1/33 0:00,12,105.48333
Repeev Khutor,22590,Valid,"Iron, IIF",7000,Fell,1/1/33 0:00,48.6,45.66667
Marsland,15434,Valid,H5,6850,Found,1/1/33 0:00,42.45,-103.3
Pasamonte,18110,Valid,Eucrite-pmict,5100,Fell,1/1/33 0:00,36.21667,-103.4
Grady (1933),10951,Valid,L3-6,4230,Found,1/1/33 0:00,34.8,-103.31667
Sioux County,23614,Valid,Eucrite-mmict,4100,Fell,1/1/33 0:00,42.58333,-103.66667
Pesyanoe,18799,Valid,Aubrite,3393,Fell,1/1/33 0:00,55.5,66.08333
Shafter Lake,23513,Valid,H5,3027,Found,1/1/33 0:00,32.4,-102.58333
Loomis,14698,Valid,L6,3020,Found,1/1/33 0:00,40.46667,-99.5
Bushman Land,5179,Valid,"Iron, IVA",3000,Found,1/1/33 0:00,-30,20
Hobbs,11891,Valid,H4,2300,Found,1/1/33 0:00,32.73333,-103.1
Hobbs (b),11892,Valid,H5,1600,Found,1/1/33 0:00,32.73333,-103.1
Malvern,15400,Valid,Eucrite-pmict,807,Fell,1/1/33 0:00,-29.45,26.76667
Po-wang Chen,18879,Valid,LL,665,Fell,1/1/33 0:00,31.41667,118.5
Banten,4938,Valid,CM2,629,Fell,1/1/33 0:00,-6.33333,106
Para de Minas,18099,Valid,"Iron, IVA",116300,Found,1/1/34 0:00,-19.86667,-44.61667
Bennett County,5022,Valid,"Iron, IIAB",89000,Found,1/1/34 0:00,43.5,-101.25
Farmville,10075,Valid,H4,56000,Fell,1/1/34 0:00,35.55,-77.53333
Weldona,24234,Valid,H4,27700,Found,1/1/34 0:00,40.35,-103.95
Taiban,23785,Valid,L5,25000,Found,1/1/34 0:00,34.45,-104.01667
Mangwendi,15405,Valid,LL6,22300,Fell,1/1/34 0:00,-17.65,31.6
Nashville (iron),16920,Valid,Iron,18000,Found,1/1/34 0:00,35.96667,-77.96667
Tryon,24056,Valid,L6,15900,Found,1/1/34 0:00,41.55,-100.96667
Gruver,11428,Valid,H4,13100,Found,1/1/34 0:00,36.33333,-101.4
Willard (b),24271,Valid,H3.6,12700,Found,1/1/34 0:00,34.5,-105.83333
Cope,5440,Valid,H5,12000,Found,1/1/34 0:00,39.66667,-102.83333
Glen Rose (iron),10932,Valid,"Iron, ungrouped",11000,Found,1/1/34 0:00,32.25,-97.71667
Spearman,23687,Valid,"Iron, IIIAB",10400,Found,1/1/34 0:00,36.25,-101.21667
Bahjoi,4922,Valid,"Iron, IAB-sLL",10322,Fell,1/1/34 0:00,28.48333,78.5
Kearney,12269,Valid,H5,10000,Found,1/1/34 0:00,40.68333,-99.06667
Round Top (a),22768,Valid,L5,9935,Found,1/1/34 0:00,30.05806,-96.65139
Hainaut,11472,Valid,H3-6,9000,Fell,1/1/34 0:00,50.31667,3.73333
Roy (1934),22775,Valid,L6,5619,Found,1/1/34 0:00,35.95,-104.2
Amber,2291,Valid,L6,4532,Found,1/1/34 0:00,35.16667,-97.88333
Fayetteville,10079,Valid,H4,2360,Fell,1/1/34 0:00,36.05,-94.16667
Rio Negro,22611,Valid,L4,1310,Fell,1/1/34 0:00,-26.1,-49.8
Capilla del Monte,5264,Valid,H6,750,Fell,1/1/34 0:00,-30.88333,-64.55
Carver,5284,Valid,"Iron, IIAB",94000,Found,1/1/35 0:00,32,-86
owicz,14718,Valid,Mesosiderite-A3,59000,Fell,1/1/35 0:00,52,19.91667
Nullarbor 001,17941,Valid,H5,40000,Found,1/1/35 0:00,-31,132
Patwar,18171,Valid,Mesosiderite-A1,37350,Fell,1/1/35 0:00,23.15,91.18333
Perpeti,18793,Valid,L6,23474,Fell,1/1/35 0:00,23.325,91
Maria Elena (1935),15417,Valid,"Iron, IVA",15500,Found,1/1/35 0:00,-22.33333,-69.66667
Hasparos,11850,Valid,"Iron, IAB-MG",12880,Found,1/1/35 0:00,34,-105.5
Quartz Mountain,18910,Valid,"Iron, IIIAB",4832,Found,1/1/35 0:00,37.2,-116.7
Nikolaevka,16976,Valid,H4,3996,Fell,1/1/35 0:00,52.45,78.63333
Paloduro,18081,Valid,"Iron, IIIE",3000,Found,1/1/35 0:00,34.9,-101.21667
Pine Bluffs,18824,Valid,H,2700,Found,1/1/35 0:00,41.18333,-104.06667
Pleasanton,18848,Valid,H5,2300,Found,1/1/35 0:00,38.18333,-94.71667
Phillips County (pallasite),18807,Valid,"Pallasite, PMG-an",1360,Found,1/1/35 0:00,40.45,-102.38333
McAddo,15457,Valid,L6,1100,Found,1/1/35 0:00,33.75,-100.93333
Naruna (a),16916,Valid,H4,672.3,Found,1/1/35 0:00,30.95,-98.26667
Sungach,23745,Valid,H5,637,Fell,1/1/35 0:00,44.86667,133.16667
Marlow,15428,Valid,L5,68000,Found,1/1/36 0:00,34.6,-97.91667
Gladstone (stone),10921,Valid,H4,57300,Found,1/1/36 0:00,36.3,-104
Cuero,5493,Valid,H5,46500,Found,1/1/36 0:00,29.01667,-97.28333
Arriba,2339,Valid,L5,31100,Found,1/1/36 0:00,39.3,-103.25
Negrillos,16939,Valid,"Iron, IIAB",28500,Found,1/1/36 0:00,-19.88333,-69.83333
Adrian,388,Valid,H4,22600,Found,1/1/36 0:00,35.15,-102.71667
New Leipzig,16955,Valid,"Iron, IAB-MG",20000,Found,1/1/36 0:00,46.36667,-101.95
Farley,10073,Valid,H5,19400,Found,1/1/36 0:00,36.33333,-104.05
Channing,5324,Valid,H5,15300,Found,1/1/36 0:00,35.71667,-102.28333
Sanderson,23135,Valid,"Iron, IIIAB",6800,Found,1/1/36 0:00,30.13333,-102.15
Cashion,5287,Valid,H4,5896.8,Found,1/1/36 0:00,35.84778,-97.70333
Ouallen,18048,Valid,H6,5174,Found,1/1/36 0:00,24.16667,0.08333
Shallowater,23522,Valid,Aubrite,4650,Found,1/1/36 0:00,33.7,-101.93333
Phulmari,18810,Valid,Stone-uncl,4064,Found,1/1/36 0:00,20.13333,75.5
Ichkala,11995,Valid,H6,3973,Fell,1/1/36 0:00,58.2,82.93333
Grant County,10958,Valid,L6,2300,Found,1/1/36 0:00,37.46667,-101.43333
Macibini,15372,Valid,Eucrite-pmict,1995,Fell,1/1/36 0:00,-28.83333,31.95
Seneca,23497,Valid,H4,1900,Found,1/1/36 0:00,39.83333,-96.06667
Elton,10029,Valid,"Iron, ungrouped",1900,Found,1/1/36 0:00,33.71667,-100.83333
Livingston (Montana),14668,Valid,"Iron, IIIAB",1600,Found,1/1/36 0:00,45.6,-110.58333
Yurtuk,30378,Valid,Howardite,1472,Fell,1/1/36 0:00,47.31667,35.36667
Karval,12265,Valid,H5,1104,Found,1/1/36 0:00,38.71667,-103.51667
Ute Creek,24134,Valid,H4,1000,Found,1/1/36 0:00,36.2,-103.9
Aiken,421,Valid,OC,956,Found,1/1/36 0:00,34.2,-101.5
Hale Center (no. 2),11478,Valid,H4,695,Found,1/1/36 0:00,34.05,-101.75
Hale Center (no. 1),11477,Valid,L5,610,Found,1/1/36 0:00,34.05,-101.75
Elkhart,10017,Valid,H5,573,Found,1/1/36 0:00,37.01667,-101.88333
Los Sauces,14710,Valid,Iron,997000,Found,1/1/37 0:00,-29.41667,-66.85
Boxhole,5126,Valid,"Iron, IIIAB",500000,Found,1/1/37 0:00,-22.61667,135.2
Putinga,18905,Valid,L6,300000,Fell,1/1/37 0:00,-29.03333,-53.05
Kainsaz,12229,Valid,CO3.2,200000,Fell,1/1/37 0:00,55.43333,53.25
Scurry,23468,Valid,H5,118000,Found,1/1/37 0:00,32.5,-101
Gundaring,11452,Valid,"Iron, IIIAB",112500,Found,1/1/37 0:00,-33.3,117.66667
Mrirt,16819,Valid,Iron,79900,Found,1/1/37 0:00,33.13333,-5.56667
Kumerina,12375,Valid,"Iron, IIC",53500,Found,1/1/37 0:00,-24.91667,119.41667
Beenham,4995,Valid,L5,44400,Found,1/1/37 0:00,36.21667,-103.65
Kelly,12273,Valid,LL4,44300,Found,1/1/37 0:00,40.46667,-103.03333
Brownfield (1937),5151,Valid,H3.7,40960,Found,1/1/37 0:00,33.21667,-102.18333
Wonyulgunna,24329,Valid,"Iron, IIIAB",37800,Found,1/1/37 0:00,-24.91667,120.06667
Ladder Creek,12410,Valid,L6,35100,Found,1/1/37 0:00,38.61667,-101.63333
Texline,23906,Valid,H5,26200,Found,1/1/37 0:00,36.4,-103.01667
Tauti,23888,Valid,L6,21000,Fell,1/1/37 0:00,46.71667,23.5
Bristol,5143,Valid,"Iron, IVA",20000,Found,1/1/37 0:00,36.56667,-82.18333
Arcadia,2326,Valid,LL6,19400,Found,1/1/37 0:00,41.41667,-99.1
Shaw,23526,Valid,L6/7,17500,Found,1/1/37 0:00,39.53333,-103.33333
Peetz,18783,Valid,L6,11500,Found,1/1/37 0:00,40.95,-103.08333
Clark County,5373,Valid,"Iron, IIIF",11300,Found,1/1/37 0:00,38,-84.16667
Johnson City,12197,Valid,L6,10400,Found,1/1/37 0:00,37.55,-101.68333
Grady (1937),10952,Valid,H3.7,9300,Found,1/1/37 0:00,34.8,-103.31667
Hardwick,11828,Valid,L4,7800,Found,1/1/37 0:00,43.8,-96.16667
Broken Bow,5145,Valid,H4,6800,Found,1/1/37 0:00,41.43333,-99.7
Casilda,5288,Valid,H5,5250,Found,1/1/37 0:00,-33.1,-61.13333
Cedar (Kansas),5302,Valid,H6,4900,Found,1/1/37 0:00,39.7,-98.98333
Coolidge,5434,Valid,C4-ung,4500,Found,1/1/37 0:00,38.03333,-101.98333
Lincoln County,14654,Valid,L6,4500,Found,1/1/37 0:00,39.36667,-103.16667
Farnum,10076,Valid,L5,4200,Found,1/1/37 0:00,40.25,-100.23333
Laketon,12448,Valid,L6,3600,Found,1/1/37 0:00,35.56667,-100.66667
Kaptal-Aryk,12253,Valid,L6,3500,Fell,1/1/37 0:00,42.45,73.36667
Rangala,22392,Valid,L6,3224.5,Fell,1/1/37 0:00,25.38333,72.01667
Springfield,23689,Valid,L6,3200,Found,1/1/37 0:00,37.38333,-102.63333
Novorybinskoe,17931,Valid,"Iron, IVA",3055,Found,1/1/37 0:00,51.88333,71.25
Little Spring Creek,30743,Valid,H5,2950,Found,1/1/37 0:00,37.68333,-105.7
Kaalijarv,12217,Valid,"Iron, IAB-MG",2250,Found,1/1/37 0:00,58.4,22.66667
Alamosa,450,Valid,L6,1800,Found,1/1/37 0:00,37.46667,-105.86667
Erofeevka,10048,Valid,H4,1771.9,Found,1/1/37 0:00,51.86667,70.35
Ferguson Switch,10089,Valid,H5,1700,Found,1/1/37 0:00,34,-101.5
Smith Center,23649,Valid,L6,1585,Found,1/1/37 0:00,39.83333,-99.01667
Waldo,24202,Valid,L6,1300,Found,1/1/37 0:00,39.1,-98.83333
Haviland (a),11860,Valid,H5,1035,Found,1/1/37 0:00,37.61667,-99.1
Brady,5129,Valid,L6,927,Found,1/1/37 0:00,31.05,-99.46667
Yalgoo,24354,Valid,LL,850,Found,1/1/37 0:00,-28.38333,116.71667
Mount Morris (Wisconsin),16783,Valid,"Iron, IAB-an",676,Found,1/1/37 0:00,44,-89.25
Horse Creek,11910,Valid,"Iron, ungrouped",570,Found,1/1/37 0:00,37.58333,-102.76667
Goose Lake,10947,Valid,"Iron, IAB-sLL",1169500,Found,1/1/38 0:00,41.98,-120.54167
Chebankol,5335,Valid,"Iron, IAB-sHL",127760,Found,1/1/38 0:00,53.66667,88
Zhovtnevyi,30407,Valid,H6,107000,Fell,1/1/38 0:00,47.58333,37.25
Agua Blanca,397,Valid,"Iron, IIIAB",49000,Found,1/1/38 0:00,-28.91667,-66.95
Bonita Springs,5104,Valid,H5,41800,Found,1/1/38 0:00,26.26667,-81.75
El Simbolar,7818,Valid,Iron,40000,Found,1/1/38 0:00,-30.63333,-64.88333
Monahans (1938),16718,Valid,"Iron, IIF",27900,Found,1/1/38 0:00,31.48333,-102.88333
Cavour,5300,Valid,H6,26210,Found,1/1/38 0:00,44.221494,-98.059192
Romero,22651,Valid,H4,17200,Found,1/1/38 0:00,35.76667,-102.95
Ransom,22393,Valid,H4,15000,Found,1/1/38 0:00,38.61667,-99.93333
Alamogordo,449,Valid,H5,13600,Found,1/1/38 0:00,32.9,-105.93333
Harriman (Om),11841,Valid,"Iron, IIIAB",13000,Found,1/1/38 0:00,35.95,-84.56667
Sandtown,23157,Valid,"Iron, IIIAB",9350,Found,1/1/38 0:00,35.93333,-91.63333
Rush Creek,22786,Valid,L6,9300,Found,1/1/38 0:00,38.61667,-102.71667
Howe,11914,Valid,H5,8630,Found,1/1/38 0:00,33.5,-96.6
Bartlett,4953,Valid,"Iron, IIIAB",8590,Found,1/1/38 0:00,30.83333,-97.5
Mukinbudin,45813,Valid,H5,8200,Found,1/1/38 0:00,-30.91667,118.2
Calico Rock,5198,Valid,"Iron, IIAB",7275,Found,1/1/38 0:00,36.08333,-92.15
Juarez,12205,Valid,L6,6100,Found,1/1/38 0:00,-37.55,-60.15
Atlanta,4886,Valid,EL6,5500,Found,1/1/38 0:00,31.8,-92.75
Garnett,10862,Valid,H4,4788,Found,1/1/38 0:00,38.26667,-95.25
Wray (b),24339,Valid,L5,3884,Found,1/1/38 0:00,40.33083,-102.19583
Soper,23669,Valid,"Iron, ungrouped",3700,Found,1/1/38 0:00,34.03333,-95.58333
Wiley,24268,Valid,"Iron, IIC",3500,Found,1/1/38 0:00,38.15,-102.66667
Aztec,4913,Valid,L6,2830,Fell,1/1/38 0:00,36.8,-108
Silverton (Texas),23601,Valid,H4,2576,Found,1/1/38 0:00,34.53333,-101.18333
Kukschin,12368,Valid,L6,2250,Fell,1/1/38 0:00,51.15,31.7
Pantar,18098,Valid,H5,2130,Fell,1/1/38 0:00,8.06667,124.28333
Tatum,23886,Valid,H4,1787,Found,1/1/38 0:00,33.23333,-103.44167
Benld,5021,Valid,H6,1770.5,Fell,1/1/38 0:00,39.08333,-89.15
Lubbock,14722,Valid,L5,1457.8,Found,1/1/38 0:00,33.6,-101.73333
Mets’_kyl’_,16625,Valid,H4,1200,Found,1/1/38 0:00,60.65,27.06667
Aurora,4901,Valid,H4,1000,Found,1/1/38 0:00,36.33333,-105.05
Lavrentievka,12743,Valid,L6,800,Fell,1/1/38 0:00,52.45,51.56667
Kasamatsu,12266,Valid,H,710,Fell,1/1/38 0:00,35.36667,136.76667
Ivuna,12063,Valid,CI1,704.5,Fell,1/1/38 0:00,-8.41667,32.43333
Ness County (1938),16947,Valid,H4,652,Found,1/1/38 0:00,38.48333,-99.91667
Keyes,12287,Valid,L6,142000,Found,1/1/39 0:00,36.71667,-102.5
Concho,5417,Valid,L6,93500,Found,1/1/39 0:00,32,-101.5
Tawallah Valley,23889,Valid,"Iron, IVB",75750,Found,1/1/39 0:00,-15.7,135.66667
Mapleton,15410,Valid,"Iron, IIIAB",49000,Found,1/1/39 0:00,42.18333,-95.71667
Dresden (Ontario),7731,Valid,H6,47700,Fell,1/1/39 0:00,42.52,-82.26
El Burro,7793,Valid,"Iron, IIAB",35900,Found,1/1/39 0:00,29.33333,-101.83333
Nashville (stone),16921,Valid,L6,25000,Found,1/1/39 0:00,37.45,-98.41667
Andura,2298,Valid,H6,17900,Fell,1/1/39 0:00,20.88333,76.86667
Hat Creek,11853,Valid,H4,8900,Found,1/1/39 0:00,42.91667,-104.41667
Edmonton (Canada),7770,Valid,"Iron, IIAB",7340,Found,1/1/39 0:00,53.66667,-113.41667
Round Top (b),22769,Valid,H4,7166,Found,1/1/39 0:00,30.06667,-96.7
Kendleton,12275,Valid,L4,6937,Fell,1/1/39 0:00,29.45,-96
Ovid,18057,Valid,H6,6169,Found,1/1/39 0:00,40.96667,-102.4
Coomandook,5435,Valid,H6,5230,Found,1/1/39 0:00,-35.41667,139.75
Silver Bell,23596,Valid,"Iron, IIAB",5100,Found,1/1/39 0:00,32.48333,-111.56667
McLean,15464,Valid,H6,4300,Found,1/1/39 0:00,35.23333,-100.6
Indianola,12030,Valid,L5,4000,Found,1/1/39 0:00,40.23333,-100.41667
Ekeby,7776,Valid,H4,3336,Fell,1/1/39 0:00,56.03333,13
Pierceville (stone),18820,Valid,L6,2125,Found,1/1/39 0:00,37.86667,-100.66667
Chervony Kut,5342,Valid,Eucrite-mmict,1700,Fell,1/1/39 0:00,50.83333,34
Bolshaya Korta,5101,Valid,H5,1593,Found,1/1/39 0:00,57.63333,83.36667
Selakopi,23481,Valid,H5,1590,Fell,1/1/39 0:00,-7.23333,107.33333
Glanggang,10924,Valid,H5-6,1303,Fell,1/1/39 0:00,-7.25,107.7
Bushnell,5180,Valid,H4,1240,Found,1/1/39 0:00,41.23333,-103.9
Maldyak,15396,Valid,"Iron, IIIAB",992,Found,1/1/39 0:00,63.33333,148.16667
Newsom,16963,Valid,L6,892,Found,1/1/39 0:00,37.6,-105.83333
Nyaung,17969,Valid,"Iron, IIIAB",737.6,Fell,1/1/39 0:00,21.20833,94.91667
Wathena,24220,Valid,"Iron, IIAB",566,Found,1/1/39 0:00,39.81667,-94.91667
Sardis,23177,Valid,"Iron, IAB complex",800000,Found,1/1/40 0:00,32.94889,-81.865
Smithonia,23651,Valid,"Iron, IIAB",69900,Found,1/1/40 0:00,34,-83.16667
Wellman (a),24237,Valid,H5,55000,Found,1/1/40 0:00,33.03333,-102.33333
Davy (a),6616,Valid,L4,50600,Found,1/1/40 0:00,29.1,-97.6
Linwood,14657,Valid,"Iron, IAB-MG",46000,Found,1/1/40 0:00,41.43333,-96.96667
Lamont,12453,Valid,Mesosiderite,38690,Found,1/1/40 0:00,38.07778,-96.02639
Seymour,23511,Valid,"Iron, IAB-MG",25900,Found,1/1/40 0:00,37.2375,-92.78694
Beaver,4985,Valid,L5,25628,Found,1/1/40 0:00,36.8,-100.53333
Comanche (iron),5414,Valid,"Iron, IAB-sLL",19700,Found,1/1/40 0:00,32.01667,-98.7
Horace,11908,Valid,H5,19700,Found,1/1/40 0:00,38.35,-101.78333
Arapahoe,2323,Valid,L5,19083,Found,1/1/40 0:00,38.8,-102.2
Emsland,10035,Valid,"Iron, ungrouped",19000,Found,1/1/40 0:00,53.1,7.2
Brewster,5137,Valid,L6,17000,Found,1/1/40 0:00,39.25,-101.33333
De Nova,6624,Valid,L6,12700,Found,1/1/40 0:00,39.85,-102.95
Wickenburg (stone),24258,Valid,L6,9200,Found,1/1/40 0:00,33.96667,-112.73333
Burdett,5167,Valid,H5,8600,Found,1/1/40 0:00,38.23333,-99.53333
Cranfills Gap,5464,Valid,H6,6000,Found,1/1/40 0:00,31.75,-97.75
Dwight,7756,Valid,L6,4100,Found,1/1/40 0:00,38.85,-96.58333
Ramnagar,22384,Valid,L6,3766,Fell,1/1/40 0:00,26.45,82.9
Moama,16708,Valid,Eucrite-cm,3416,Found,1/1/40 0:00,-35.95,144.51667
Kediri,12270,Valid,L4,3300,Fell,1/1/40 0:00,-7.75,112.01667
Norcateur,16991,Valid,L6,3200,Found,1/1/40 0:00,39.81667,-100.2
Otis,18044,Valid,L6,2600,Found,1/1/40 0:00,38.53333,-99.05
Colby (Kansas),5394,Valid,H5,2400,Found,1/1/40 0:00,39.41667,-101.05
Parma Canyon,18107,Valid,Iron,2150,Found,1/1/40 0:00,43.8,-117
Briscoe,5142,Valid,L5,1773,Found,1/1/40 0:00,34.35,-101.4
Fleming,10110,Valid,H3.7,1750,Found,1/1/40 0:00,40.68333,-102.81667
Akron (1940),430,Valid,H6,1050,Found,1/1/40 0:00,40.15,-103.16667
Bhola,5040,Valid,LL3-6,1047,Fell,1/1/40 0:00,22.68333,90.65
Rosamond Dry Lake,22764,Valid,L,850,Found,1/1/40 0:00,34.83333,-118.06667
Leander,12753,Valid,L4,760,Found,1/1/40 0:00,30.6,-97.9
Cortez,5449,Valid,H6,715.6,Found,1/1/40 0:00,37.35,-108.68333
Semarkona,23487,Valid,LL3.00,691,Fell,1/1/40 0:00,22.25,79
Potter,18878,Valid,L6,261000,Found,1/1/41 0:00,41.23333,-103.3
Dalgety Downs,5507,Valid,L4,257000,Found,1/1/41 0:00,-25.33333,116.18333
Vera,24161,Valid,L/LL4,80000,Found,1/1/41 0:00,-29.91667,-60.28333
Burgavli,5168,Valid,"Iron, IAB-MG",24900,Found,1/1/41 0:00,66.4,137.46667
Mount Egerton,16774,Valid,Aubrite-an,22000,Found,1/1/41 0:00,-24.76667,117.7
Phuoc-Binh,18812,Valid,L5,11000,Fell,1/1/41 0:00,15.71667,108.1
Sidney,23585,Valid,L,6000,Found,1/1/41 0:00,41.05,-102.9
New Westville,16961,Valid,"Iron, IVA",4800,Found,1/1/41 0:00,39.8,-84.81667
Hayes Center,11865,Valid,L6,4500,Found,1/1/41 0:00,40.51667,-101.03333
Seibert (a),23479,Valid,H5,3500,Found,1/1/41 0:00,39.3,-102.83333
Maridi,15421,Valid,H6,3200,Fell,1/1/41 0:00,4.66667,29.25
Harding County,11826,Valid,L4,3075,Found,1/1/41 0:00,45.5,-103.5
Abernathy,7,Valid,L6,2914,Found,1/1/41 0:00,33.85,-101.8
Chamberlin,5317,Valid,H5,2400,Found,1/1/41 0:00,36.2,-102.45
Mereta,15488,Valid,H4,1417.5,Found,1/1/41 0:00,31.42611,-100.13333
Slaton,23625,Valid,L4,1070,Found,1/1/41 0:00,33.43333,-101.75
Caroline,5279,Valid,H5,800,Found,1/1/41 0:00,-37.98333,140.98333
Black Moshannan Park,5065,Valid,L5,705,Fell,1/1/41 0:00,40.91667,-78.08333
Lorenzo,44717,Valid,L5,611.9,Found,1/1/41 0:00,41.03333,-102.88333
Mafra,15383,Valid,L3-4,600,Fell,1/1/41 0:00,-26.16667,-49.93333
El Timbu,7820,Valid,Iron,500000,Found,1/1/42 0:00,-33.11667,-60.96667
Dimmitt,7645,Valid,H3.7,200000,Found,1/1/42 0:00,34.58333,-102.16667
Aggie Creek,393,Valid,"Iron, IIIAB",43000,Found,1/1/42 0:00,64.88333,-163.16667
Forest Vale,10120,Valid,H4,26000,Fell,1/1/42 0:00,-33.35,146.85833
Mount Sir Charles,16803,Valid,"Iron, IVA",22900,Found,1/1/42 0:00,-23.83333,134.03333
Kapoeta,12251,Valid,Howardite,11355,Fell,1/1/42 0:00,4.7,33.63333
Edmonton (Kentucky),7771,Valid,"Iron, IAB-sLM",10200,Found,1/1/42 0:00,37.03333,-85.63333
Ankober,2304,Valid,H4,6500,Fell,1/1/42 0:00,9.53333,39.71667
Mosca,16755,Valid,L6,6220,Found,1/1/42 0:00,37.63333,-105.83333
